Sample	Power (mW)
0	288.0
1	288.0
2	288.0
3	252.0
4	256.0
5	250.0
6	576.0
7	252.0
8	250.0
9	262.0
10	246.0
11	256.0
12	258.0
13	252.0
14	256.0
15	246.0
16	252.0
17	246.0
18	256.0
19	574.0
20	256.0
21	256.0
22	246.0
23	258.0
24	570.0
25	256.0
26	246.0
27	256.0
28	246.0
29	250.0
30	570.0
31	246.0
32	574.0
33	250.0
34	250.0
35	250.0
36	246.0
37	246.0
38	246.0
39	250.0
